"","ks_goog","avg_jm_goog","jm_coef_var_goog","min_jm_goog","max_jm_goog","avg_nf_goog","nf_coef_var_goog","min_nf_goog","max_nf_goog","shortlist","cc","degree","burt","wc","peer_dev_lda","peer_dev_jacc","cc_orig","contest"
"1",0.16327813,0.19873363,0.21513851,0,1,0.1155135,1.4487984,0,0.77528089,0,0,1,0,156,2.5659132,0.99782819,0.66666669,"Contest_1"
"2",0.14711201,0.27099919,0.18617837,0,1,0.16853933,1.2216004,0,0.85393256,0,0,0,0,74,7.123179,0.99899781,NA,"Contest_1"
"3",0.31431082,0.33710742,0.060863085,0.045977011,0.83146065,0.32584271,1.0954722,0,0.9775281,0,0,0,0,11,30.157763,0.99970776,0.89999998,"Contest_1"
"4",0.17582066,0.27263686,0.14081943,0.037037037,1,0.27849117,0.91090447,0,0.86516851,1,0.5714286,8,1.9677242,53,5.7593813,0.99941552,0.43333334,"Contest_1"
"5",0.16751839,0.20670071,0.16405931,0,1,0.11452031,1.1076934,0,0.48314607,0,0.66666669,3,1.5214474,75,2.5383983,0.99891442,0.43333334,"Contest_1"
"6",0.1883211,0.28021953,0.086820252,0.032258064,1,0.27929375,0.79837495,0,0.73033708,0,0,0,0,61,NA,0.99903977,0.43333334,"Contest_1"
"7",0.13952972,0.2724472,0.25724551,0,1,0.15149167,1.4411669,0,0.86516851,0,0.5714286,8,1.9677242,110,NA,0.99883074,0.43333334,"Contest_1"
"8",0.18189372,0.28485906,0.18440759,0.052631579,1,0.23158552,1.1612872,0,0.9775281,1,0,0,0,39,NA,0.9992485,0.60000002,"Contest_1"
"9",0.1154945,0.22962798,0.12537807,0,1,0.17187974,1.1786267,0,0.86516851,0,0,0,0,123,NA,0.99853861,0.53571427,"Contest_1"
"10",0.10137656,0.21867661,0.28338408,0,1,0.12958102,1.3426403,0,0.86516851,0,0.33333334,4,1.5110544,341,2.5811336,0.99590611,0.28104576,"Contest_1"
"11",0.049048495,0.22339067,0.20236284,0,1,0.15449437,1.334884,0,0.86516851,0,0,3,0.75,205,2.5725303,0.99724334,0.28104576,"Contest_1"
"12",0.23909979,0.30024716,0.10274944,0.032258064,1,0.30218807,0.77072918,0,0.86516851,0,0,0,0,47,3.1687343,0.99916506,0.80000001,"Contest_1"
"13",0.19992912,0.18299319,0.23072042,0,1,0.14351378,1.0243239,0,0.5955056,0,0,0,0,84,30.09053,0.99832976,0.2962963,"Contest_1"
"14",0.088629104,0.22741769,0.25159714,0,1,0.14346197,1.216779,0,0.75280899,0,0,0,0,245,1.8109734,0.99728566,0.60000002,"Contest_1"
"15",0.13339917,0.24701902,0.1689534,0.045454547,1,0.19311798,1.1671255,0,0.9775281,0,0,0,0,49,14.297549,0.9992485,0.35714287,"Contest_1"
"16",0.066491008,0.2213503,0.18764605,0,1,0.13605276,1.430339,0,0.86516851,0,0,0,0,103,33.047745,0.99824589,0.83333331,"Contest_1"
"17",0.10197257,0.21997559,0.28646311,0,1,0.1735955,1.3390095,0,0.9775281,0,0,0,0,161,3.2540445,0.99736929,0.86666667,"Contest_1"
"18",0.48181358,0.41585624,0.049436204,0.050000001,0.18181819,0.083467096,1.7943451,0,0.43820226,0,0,0,0,12,NA,0.99991649,0.5,"Contest_1"
"19",0.22246258,0.30920163,0.22510724,0.030303031,1,0.27364987,1.0007935,0,0.86516851,0,0,0,0,106,5.2985811,0.99862212,0.60000002,"Contest_1"
"20",0.20720415,0.29558888,0.14088769,0.030303031,1,0.12983771,1.1632628,0,0.48314607,0,0,0,0,52,NA,0.99929023,0.60000002,"Contest_1"
"21",0.16862679,0.27228874,0.21262328,0.037037037,1,0.10393258,1.6532207,0,0.77528089,0,0,1,0,54,3.2002473,0.99908143,0.11852502,"Contest_1"
"22",0.21703807,0.31581593,0.20301113,0.039999999,1,0.18452895,1.390164,0,0.86516851,0,0.33333334,4,1.1169388,100,1.2596061,0.99899793,0.11852502,"Contest_1"
"23",0.28107989,0.32601255,0.13548033,0.060606062,1,0.17495987,1.4544973,0,0.9775281,0,0.10708899,52,4.0155058,47,14.178257,0.99945724,0.11852502,"Contest_1"
"24",0.14233026,0.2683759,0.16531852,0,1,0.25380039,1.0408005,0,0.9775281,0,0.067251459,19,1.9827698,91,4.8173118,0.9984135,0.11852502,"Contest_1"
"25",0.20713246,0.27610722,0.11522323,0.033333335,1,0.20158625,1.155876,0,0.86516851,0,0.33333334,4,1.1169388,90,10.94874,0.99866384,0.11852502,"Contest_1"
"26",0.082978286,0.2472132,0.1549623,0,1,0.19347766,1.2486091,0,0.86516851,0,0.11058824,51,3.9647193,149,7.1971178,0.99816287,0.11852502,"Contest_1"
"27",0.18721531,0.27958733,0.15249248,0.027777778,1,0.22338149,1.0871567,0,0.9775281,0,0,1,0,120,1.7994331,0.99828804,0.11852502,"Contest_1"
"28",0.25933823,0.35261235,0.23643155,0.054054055,1,0.088089891,2.0704732,0,0.77528089,0,0.092307694,40,2.7321348,77,3.2030468,0.99895626,0.11852502,"Contest_1"
"29",0.21990883,0.33058998,0.26880348,0.07692308,1,0.096441947,1.4998978,0,0.52808988,0,0.092307694,40,2.7321348,66,29.734447,0.99895614,0.11852502,"Contest_1"
"30",0.27727586,0.30515969,0.20282388,0.027777778,1,0.14688955,1.3559134,0,0.77528089,0,0.12121212,12,1.6745272,146,2.4798732,0.99841315,0.11852502,"Contest_1"
"31",0.17016086,0.26528785,0.10724795,0.037037037,1,0.19422151,1.0888661,0,0.73033708,0,0.08599034,46,3.296365,102,32.871365,0.99849689,0.11852502,"Contest_1"
"32",0.14380699,0.24452388,0.17505787,0,1,0.1506153,1.4591914,0,0.9775281,0,0.16071428,8,1.5234758,258,3.2654755,0.99599129,0.11852502,"Contest_1"
"33",0.16946444,0.28650352,0.20819955,0,1,0.19288389,1.2656251,0,0.86516851,0,0.1044898,50,4.1059704,140,7.1918821,0.99803776,0.11852502,"Contest_1"
"34",0.31554312,0.33705032,0.16989388,0.039215688,1,0.26046985,1.1195031,0,0.9775281,0,0.093023255,43,3.227416,75,2.5331659,0.99887282,0.11852502,"Contest_1"
"35",0.1554978,0.2680383,0.32026818,0.041666668,1,0.09771876,1.791056,0,0.86516851,0,0.12121212,12,1.6745272,114,12.645913,0.99858046,0.11852502,"Contest_1"
"36",0.29017684,0.31966332,0.1223835,0,1,0.19574216,1.4432774,0,0.9775281,0,0.086473428,46,3.3107951,102,3.2264597,0.99862176,0.11852502,"Contest_1"
"37",0.35042766,0.37570393,0.18740925,0.03846154,1,0.23896958,1.1918366,0,0.9775281,0,0.086473428,46,3.3107951,111,31.51906,0.99812078,0.11852502,"Contest_1"
"38",0.13486768,0.26388383,0.16215011,0,1,0.16827181,1.4878461,0,0.9775281,0,0.088269457,42,2.9862959,119,NA,0.9982878,0.11852502,"Contest_1"
"39",0.35045308,0.35172281,0.13622501,0.035714287,1,0.19918284,1.3976029,0,0.9775281,1,0.069747902,35,2.7880259,112,7.1954355,0.99837101,0.11852502,"Contest_1"
"40",0.085890286,0.22571337,0.21547222,0,1,0.14939658,1.4130198,0,0.86516851,0,0.10708899,52,4.0528941,220,4.9727283,0.99786985,0.11852502,"Contest_1"
"41",0.05961008,0.22530481,0.19406094,0,1,0.17018053,1.2592852,0,0.9775281,0,0.068627454,34,2.6057231,260,45.739662,0.9959482,0.11852502,"Contest_1"
"42",0.1372162,0.24404004,0.3052676,0,1,0.1074267,1.9050606,0,0.86516851,0,0.12121212,12,1.6745272,121,1.8028181,0.99816287,0.11852502,"Contest_1"
"43",0.21489458,0.29415783,0.15204404,0.035714287,1,0.25655431,1.0407695,0,0.9775281,0,0.068907566,35,2.6147339,102,3.2185197,0.99853867,0.11852502,"Contest_1"
"44",0.15801793,0.27758044,0.17033093,0,1,0.20678939,1.124748,0,0.9775281,0,0.067251459,19,1.9827698,174,2.3204136,0.99753654,0.11852502,"Contest_1"
"45",0.099658154,0.24909586,0.19663641,0,1,0.24409144,1.1395255,0,0.9775281,0,0,0,0,126,1.7940177,0.99866396,0.11852502,"Contest_1"
"46",0.092792206,0.24679585,0.31757283,0,1,0.15412338,1.0758662,0,0.77528089,0,0,0,0,182,2.569195,0.9978286,0.53571427,"Contest_1"
"47",0.2173229,0.29905373,0.10765339,0.041666668,1,0.18236819,1.4544127,0,0.9775281,0,0,0,0,36,24.649576,0.99954075,1,"Contest_1"
"48",0.16360651,0.26712757,0.13632469,0,1,0.19030899,1.4102138,0,0.9775281,0,0,0,0,107,1.8010662,0.99803734,0.5,"Contest_1"
"49",0.15699477,0.26194191,0.22055942,0,1,0.17780694,1.2292997,0,0.9775281,0,0,0,0,634,3.2786398,0.99360794,0.8214286,"Contest_1"
"50",0.1549813,0.26191029,0.18717961,0,1,0.19016552,1.191643,0,0.9775281,0,0,0,0,486,1.8165895,0.99623889,0.5714286,"Contest_1"
"51",0.037498888,0.20792423,0.21781716,0,1,0.13849667,1.3680308,0,0.86516851,0,0.1108871,32,2.2056448,764,2.5889575,0.99185359,0.1251509,"Contest_1"
"52",0.11736517,0.1905345,0.25485501,0,1,0.13670412,1.3890303,0,0.86516851,0,0.12197581,32,2.2055557,383,2.0635779,0.99507016,0.1251509,"Contest_1"
"53",0.025010567,0.21309781,0.20971973,0,1,0.14387503,1.3751945,0,0.86516851,0,0.1108871,32,2.2056448,556,1.7423522,0.99314952,0.1251509,"Contest_1"
"54",0.12112167,0.24157974,0.26768351,0,1,0.16888505,1.3312163,0,0.9775281,0,0.1108871,32,2.2056644,466,1.5819304,0.99427712,0.1251509,"Contest_1"
"55",0.2608858,0.18584254,0.38858977,0,1,0.12973782,1.4274377,0,0.86516851,0,0.11303192,48,2.6384845,256,3.178545,0.99715978,0.1251509,"Contest_1"
"56",0.15618405,0.25255412,0.18348572,0,1,0.17883895,1.2460183,0,0.9775281,0,0,0,0,243,14.755726,0.99699259,1,"Contest_1"
"57",0.06003242,0.20709245,0.17907202,0,1,0.14968705,1.3142537,0,0.9775281,0,0,0,0,510,1.4127164,0.99368912,0.66666669,"Contest_1"
"58",0.15409863,0.24946286,0.21579953,0,1,0.17752808,1.2687098,0,0.77528089,0,0.3128655,19,1.7788295,92,1.7910713,0.99899781,0.24893314,"Contest_1"
"59",0.12376786,0.20870304,0.27018005,0,1,0.14623766,1.3125566,0,0.77528089,0,0.40659341,14,1.6950885,212,45.674908,0.9972024,0.24893314,"Contest_1"
"60",0.13024941,0.25608209,0.19604884,0,1,0.21314266,1.3045965,0,0.9775281,0,0.33333334,3,1.3622806,86,2.54879,0.99853867,0.24893314,"Contest_1"
"61",0.1400335,0.23311608,0.20811197,0,1,0.20910551,1.2646207,0,0.9775281,0,0,0,0,221,33.316219,0.99657565,0.24893314,"Contest_1"
"62",0.19898753,0.22105667,0.28492424,0,1,0.14733599,1.4756463,0,0.86516851,0,0.21296297,28,2.3157415,217,7.2353663,0.99741071,0.24893314,"Contest_1"
"63",0.056814399,0.223986,0.25638124,0,1,0.15399462,1.3852758,0,0.9775281,0,0,0,0,518,1.4064485,0.99352008,0.39285713,"Contest_1"
"64",0.075806081,0.23324566,0.1895953,0,1,0.15592754,1.3180196,0,0.86516851,0,0,0,0,194,2.5663223,0.99786997,0.77777779,"Contest_1"
"65",0.19014692,0.29613951,0.30427071,0,1,0.13033707,1.7080282,0,0.9775281,0,0.75,5,1.6304175,69,3.2030528,0.99903971,0.77777779,"Contest_1"
"66",0.1400248,0.27532622,0.2721689,0,1,0.1610487,1.5572715,0,0.9775281,0,0.5,8,1.853771,135,NA,0.99862176,0.77777779,"Contest_1"
"67",0.15622503,0.21195816,0.26334271,0,1,0.1329588,1.4329835,0,0.9775281,0,0.16666667,3,0.94444442,102,NA,0.99862218,0.77777779,"Contest_1"
"68",0.57833058,0.52521932,0.056275103,0.16666667,1,0.087390758,1.606746,0,0.39325842,0,0,0,0,16,2.4165328,0.99966598,0.80952382,"Contest_1"
