"wc","winner","shortlist","peer_dev_lda","peer_dev_jacc","ks_goog","contest"
169,0,0,3.9103227,0.97292995,0.04362772,"Contest_1"
132,0,0,4.9459877,0.98527068,0.23981112,"Contest_1"
382,0,1,5.9035611,0.95820063,0.057826251,"Contest_1"
157,0,0,2.1831827,0.9816879,0.14208578,"Contest_1"
106,0,0,2.1696222,0.98686308,0.10888016,"Contest_1"
28,0,0,4.6736798,0.99562103,0.54352689,"Contest_1"
269,0,0,4.3177223,0.96616244,0.10649402,"Contest_1"
99,0,0,22.289675,0.98845541,0.11521741,"Contest_1"
96,0,0,1.3687085,0.98646498,0.18335472,"Contest_1"
27,0,0,2.1113729,0.99482483,0.27238005,"Contest_1"
22,0,0,2.1165745,0.99363059,0.18417382,"Contest_1"
892,0,1,1.2272538,0.91560507,0.08130952,"Contest_1"
465,1,1,1.9682244,0.94904459,0.0415009,"Contest_1"
39,0,0,10.493197,0.99442673,0.16707981,"Contest_1"
512,0,0,2.014894,0.94944268,0.031364627,"Contest_1"
321,0,0,NA,0.96337581,0.15615147,"Contest_1"
273,0,0,8.6849632,0.96377391,0.12008742,"Contest_1"
90,0,0,2.5920641,0.99044585,0.22818245,"Contest_1"
291,0,0,NA,0.97292995,0.1325694,"Contest_1"
552,0,1,28.120911,0.95262736,0.038095277,"Contest_1"
164,0,0,NA,0.97850317,0.12628685,"Contest_1"
34,0,0,4.8033662,0.99522293,0.44916144,"Contest_1"
302,0,1,NA,0.96695858,0.054067709,"Contest_1"
417,0,0,NA,0.96855098,0.044191647,"Contest_1"
200,0,0,2.3406696,0.96974522,0.12638865,"Contest_1"
641,0,1,1.8482054,0.93073249,0.043260388,"Contest_1"
232,2,1,1.5664047,0.97452229,0.13523874,"Contest_1"
86,0,0,NA,0.98606688,0.11579776,"Contest_1"
268,0,1,2.6247816,0.96457005,0.079573557,"Contest_1"
536,0,1,3.9319181,0.93949044,0.060034309,"Contest_1"
329,0,1,3.7714126,0.96019107,0.07288368,"Contest_1"
181,0,0,2.1853359,0.9816879,0.18673576,"Contest_1"
975,0,1,3.6961751,0.89649683,0.043234847,"Contest_1"
